admin0_code,admin1_code,admin1_name,lat,lon,population,map_url
US,01,Alabama,32.3182,-86.9023,4688897,https://raw.githubusercontent.com/hafen/us-locator-maps/master/thumbs/admin1/US/01.png
US,02,Alaska,61.3707,-152.4044,597749,https://raw.githubusercontent.com/hafen/us-locator-maps/master/thumbs/admin1/US/02.png
US,04,Arizona,33.7298,-111.4312,7278717,https://raw.githubusercontent.com/hafen/us-locator-maps/master/thumbs/admin1/US/04.png
US,05,Arkansas,34.9697,-92.3731,2589027,https://raw.githubusercontent.com/hafen/us-locator-maps/master/thumbs/admin1/US/05.png
US,06,California,36.1162,-119.6816,39208620,https://raw.githubusercontent.com/hafen/us-locator-maps/master/thumbs/admin1/US/06.png
US,08,Colorado,39.0598,-105.3111,5666813,https://raw.githubusercontent.com/hafen/us-locator-maps/master/thumbs/admin1/US/08.png
US,09,Connecticut,41.5978,-72.7554,3565287,https://raw.githubusercontent.com/hafen/us-locator-maps/master/thumbs/admin1/US/09.png
US,10,Delaware,39.3185,-75.5071,973764,https://raw.githubusercontent.com/hafen/us-locator-maps/master/thumbs/admin1/US/10.png
US,11,District of Columbia,38.8974,-77.0268,705749,https://raw.githubusercontent.com/hafen/us-locator-maps/master/thumbs/admin1/US/11.png
US,12,Florida,27.7663,-81.6868,21232606,https://raw.githubusercontent.com/hafen/us-locator-maps/master/thumbs/admin1/US/12.png
US,13,Georgia,33.0406,-83.6431,10139393,https://raw.githubusercontent.com/hafen/us-locator-maps/master/thumbs/admin1/US/13.png
US,15,Hawaii,21.0943,-157.4983,1415786,https://raw.githubusercontent.com/hafen/us-locator-maps/master/thumbs/admin1/US/15.png
US,16,Idaho,44.2405,-114.4788,1610497,https://raw.githubusercontent.com/hafen/us-locator-maps/master/thumbs/admin1/US/16.png
US,17,Illinois,40.3495,-88.9861,11735653,https://raw.githubusercontent.com/hafen/us-locator-maps/master/thumbs/admin1/US/17.png
US,18,Indiana,39.8494,-86.2583,6543994,https://raw.githubusercontent.com/hafen/us-locator-maps/master/thumbs/admin1/US/18.png
US,19,Iowa,42.0115,-93.2105,2620713,https://raw.githubusercontent.com/hafen/us-locator-maps/master/thumbs/admin1/US/19.png
US,20,Kansas,38.5266,-96.7265,2438488,https://raw.githubusercontent.com/hafen/us-locator-maps/master/thumbs/admin1/US/20.png
